============    FORTRESS SEED [123394]    =========
Fortress initialized! - <0>
>>> CONFIG FILE: beta_config.yaml <<< -- <0>
15 Unique character trees created -- <0>
[<.7c87] cloned to [<.52b0] at [13, 6] -- <28>
[<. 339] added [<.52b0] at [13, 6] -- <28>
[<.a5d7] moved to [12, 5] -- <28>
[<.8e15] moved to [10, 1] -- <28>
[<.ddc0] moved to [9, 5] -- <28>
[<.fee1] moved to [8, 5] -- <28>
[<.9782] moved to [13, 4] -- <28>
[<.61b8] moved to [7, 5] -- <28>
[<.2de6] moved to [9, 1] -- <28>
[<.5b31] moved to [11, 5] -- <28>
[<.6983] moved to [9, 2] -- <28>
[<.c84d] moved to [9, 4] -- <28>
[<.dcb4] moved to [8, 5] -- <28>
[<.93e4] moved to [10, 1] -- <28>
[<. d36] moved to [9, 5] -- <28>
[<.7ceb] moved to [10, 2] -- <28>
[<.c366] moved to [7, 5] -- <28>
[<.e08c] moved to [5, 1] -- <28>
[<.60df] moved to [7, 6] -- <28>
[<.7562] moved to [10, 2] -- <28>
[<. 454] moved to [11, 2] -- <28>
[<.a9e3] moved to [12, 5] -- <28>
[<.f5f7] moved to [10, 5] -- <28>
[<.8777] moved to [5, 4] -- <28>
[<.8501] moved to [8, 3] -- <28>
[<.671c] moved to [9, 6] -- <28>
[<.6c9c] moved to [11, 4] -- <28>
[<. 8da] moved to [12, 2] -- <28>
[<.f48d] moved to [9, 4] -- <28>
[<.9532] moved to [12, 6] -- <28>
[<.4dbf] moved to [12, 4] -- <28>
[<.51ea] moved to [10, 4] -- <28>
[<.a486] moved to [9, 3] -- <28>
[<.debe] moved to [12, 2] -- <28>
[<.3668] moved to [12, 3] -- <28>
[<.97b1] moved to [11, 5] -- <28>
[<.1acc] moved to [6, 5] -- <28>
[<.ffc7] moved to [11, 4] -- <28>
[<.b32f] moved to [12, 3] -- <28>
[<.9c1e] moved to [11, 4] -- <28>
[<.b697] moved to [8, 3] -- <28>
[<.5e47] moved to [9, 6] -- <28>
[<.5446] moved to [13, 4] -- <28>
[<.8763] moved to [12, 2] -- <28>
[<.f3a7] moved to [9, 2] -- <28>
[<.f58f] moved to [6, 5] -- <28>
[<.64f0] moved to [9, 4] -- <28>
[<.7c87] cloned to [<.5814] at [11, 5] -- <29>
[<.9cb6] added [<.5814] at [11, 5] -- <29>
[<.7c87] cloned to [<.c36b] at [11, 3] -- <29>
[<.f9d5] added [<.c36b] at [11, 3] -- <29>
[<.7c87] cloned to [<.390a] at [9, 3] -- <29>
[<.ba70] added [<.390a] at [9, 3] -- <29>
[<.7c87] cloned to [<.a131] at [8, 2] -- <29>
[<.b097] added [<.a131] at [8, 2] -- <29>
[<.7c87] cloned to [<.b37c] at [9, 5] -- <29>
[<.e027] added [<.b37c] at [9, 5] -- <29>
[<.7c87] cloned to [<.213f] at [12, 2] -- <29>
[<.1ea3] added [<.213f] at [12, 2] -- <29>
[<.7c87] cloned to [<.1591] at [12, 3] -- <29>
[<. 39b] added [<.1591] at [12, 3] -- <29>
[<.7c87] cloned to [<.3da9] at [10, 2] -- <29>
[<.ff4e] added [<.3da9] at [10, 2] -- <29>
[<.7c87] cloned to [<.79c3] at [5, 5] -- <29>
[<. b5e] added [<.79c3] at [5, 5] -- <29>
[<.7c87] cloned to [<.2585] at [10, 4] -- <29>
[<.8848] added [<.2585] at [10, 4] -- <29>
